index,Ticker,Date,Open,Close,Volume,quarter,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,ROE - Return On Equity,Receiveable Turnover,Return On Tangible Equity,Days,MA50,MA200,Crossover,Profitable,%Change,Ticker_encoded
843556,KMX,11/28/2016,58.28,57.37,1407900,4,0.2349,2.6119,2.237,3.9162,13.5927,1.4738,0.792,3.6916,6.3692,4.5316,40.2326,4.5316,789,52.8994,52.9174,-1,0,0,0.444444444
843562,KMX,12/6/2016,58.66,60.5,2160300,4,0.2349,2.6119,2.237,3.9162,13.5927,1.4738,0.792,3.6916,6.3692,4.5316,40.2326,4.5316,797,53.346,53.2857,1,1,10.16528926,0.444444444
843673,KMX,5/17/2017,61.66,60.02,3084700,2,0.2757,2.3439,2.0754,3.8942,14.2864,1.8124,0.7909,4.6606,7.8109,6.7162,43.3656,6.7162,959,59.471,59.50545,-1,0,0,0.444444444
843684,KMX,6/2/2017,63.89,63.6,1773700,2,0.2757,2.3439,2.0754,3.8942,14.2864,1.8124,0.7909,4.6606,7.8109,6.7162,43.3656,6.7162,975,59.819,59.81785,1,1,2.248427673,0.444444444
843868,KMX,2/26/2018,62.85,62.89,1054000,1,0.2336,2.6076,2.9379,3.9551,13.1415,1.4839,0.7936,2.9907,5.6066,3.6826,30.6345,3.6826,1244,67.4884,67.55295,-1,1,3.291461282,0.444444444
843954,KMX,6/28/2018,74.15,73.45,2601300,2,0.2699,2.2958,1.9033,3.9171,13.7992,1.828,0.7917,4.9797,7.0671,7.053,47.2871,7.053,1366,68.082,68.0637,1,0,0,0.444444444
844061,KMX,11/29/2018,66.48,66.09,1413700,4,0.2335,2.4961,2.3288,4.0403,13.2508,1.5369,0.7971,4.4301,6.2721,5.5402,38.6472,5.5402,1520,69.0078,69.24005,-1,1,2.572249962,0.444444444
844168,KMX,5/7/2019,77.75,77.68,1024900,2,0.2722,2.2107,2.2453,4.188,13.8341,1.8125,0.8025,4.9707,6.8703,7.7255,40.0833,7.7255,1679,68.6724,68.44605,1,1,7.479402678,0.444444444
844387,KMX,3/19/2020,47.26,48.13,3107400,1,0.2354,2.3872,3.4656,4.0801,13.5589,1.507,0.7986,4.3312,6.0461,5.7029,25.9694,5.7029,1996,89.0584,89.0599,-1,0,0,0.444444444
844465,KMX,7/10/2020,86.45,88.19,968600,3,0.2529,2.7067,3.4035,3.8333,14.0007,1.6354,0.7879,5.5228,7.6157,7.4499,26.4437,7.4499,2109,85.8572,85.85575,1,1,21.23823563,0.444444444
